xD,xB,QC_kW,QR_kW
0.557598,0.405417,-2378.507,3273.182
0.700713,0.522045,-1100.854,2256.604
0.347115,0.221163,-1294.382,2419.603
0.829982,0.755062,-3475.096,4569.867
0.671307,0.484278,-2366.375,3578.388
0.447112,0.168206,-984.254,2154.902
0.348095,0.067169,-2862.789,4076.596
0.506965,0.359142,-1806.9,3066.488
0.586288,0.482892,-1348.394,2682.572
0.593216,0.545223,-952.041,2011.128
0.598977,0.504337,-990.897,2250.547
0.585389,0.427629,-2934.52,4104.448
0.770366,0.71615,-2144.085,3095.565
0.560198,0.280703,-1487.086,2599.134
0.724833,0.531121,-1477.414,2531.901
0.414312,0.001,-3348.403,4688.872
0.6575,0.615781,-1479.965,2730.483
0.804367,0.759117,-1757.975,2509.096
0.610058,0.29623,-1661.634,2562.966
0.818398,0.708342,-2183.106,2911.821
0.432693,0.159669,-1627.283,2768.452
0.632823,0.457,-2844.816,3885.474
0.322606,0.056352,-3369.854,4622.562
0.762287,0.713759,-2747.025,3532.945
0.496632,0.295972,-2068.799,2967.102
0.557155,0.192823,-2407.718,3441.79
0.581765,0.483187,-2821.752,3572.422
0.45019,0.066285,-1977.275,2944.48
0.542071,0.479372,-2068.012,3223.651
0.336874,0.22977,-1177.974,2216.23
0.646526,0.577449,-1006.79,2063.371
0.507687,0.203804,-4226.117,4961.413
0.491346,0.312237,-1999.512,3152.241
0.567563,0.320663,-3049.637,4147.304
0.514599,0.345588,-1076.246,2170.71
0.694978,0.580158,-2704.341,3499.948
0.439411,0.203255,-2863.31,4019.745
0.492409,0.279695,-3503.008,4571.243
0.520993,0.242823,-1195.863,2528.511
0.578737,0.363778,-1279.619,2567.817
0.461085,0.082001,-3704.868,4549.105
0.63664,0.518715,-1297.33,2243.484
0.480311,0.001,-2068.32,2934.308
0.638162,0.498382,-1743.337,2708.04
0.701529,0.615259,-1287.333,2607.71
0.348658,0.20293,-2155.971,2967.377
0.512153,0.114774,-1430.982,2738.888
0.40774,0.001,-2145.936,3193.776
0.616263,0.533563,-1148.893,2333.255
0.748394,0.671966,-2520.738,3591.176
0.544496,0.232099,-3724.428,4960.169
0.815119,0.67904,-4052.469,5283.094
0.779238,0.687549,-2155.085,3175.007
0.397431,0.21297,-1237.994,2408.118
0.532578,0.308298,-1986.692,3285.398
0.67409,0.584687,-811.121,1889.32
0.375565,0.110233,-3224.787,4196.771
0.700376,0.598594,-1170.696,2070.241
0.804735,0.716618,-2094.601,3098.313
0.756791,0.728779,-1487.81,2588.601
0.427307,0.26226,-1319.74,2225.856
0.533364,0.2176,-1442.314,2549.263
0.562802,0.502249,-777.599,1996.152
0.683751,0.654225,-860.705,1936.883
0.579065,0.499275,-2912.418,4104.745
0.66817,0.52826,-1899.753,2829.27
0.494527,0.29492,-3306.892,4597.009
0.722642,0.60183,-2647.69,3488.956
0.367519,0.236433,-3079.848,4450.923
0.394205,0.095008,-2898.276,3784.692
0.436691,0.297361,-1693.743,2569.966
0.73962,0.555834,-2708.453,4012.642
0.406529,0.287983,-915.127,1708.032
0.572404,0.300443,-1539.965,2707.438
0.481352,0.377898,-1451.972,2261.71
0.705129,0.519233,-4360.744,5161.182
0.694823,0.529161,-3102.123,4231.458
0.440299,0.360698,-1269.73,2188.536
0.701216,0.610891,-1797.463,2598.401
0.765951,0.654311,-1673.798,2770.422
0.67475,0.623852,-1424.465,2167.954
0.605191,0.468688,-1625.07,2723.783
0.364597,0.287138,-1612.888,2595.778
0.715664,0.64944,-1308.366,2114.436
0.764992,0.725983,-2930.955,4154.925
0.485092,0.38376,-1407.953,2633.641
0.436024,0.296538,-749.051,2006.497
0.413144,0.229505,-3092.09,4053.005
0.687552,0.413627,-3135.298,4231.645
0.369622,0.040836,-1964.087,3024.98
0.585459,0.440419,-1597.556,2531.812
0.431248,0.226474,-1557.548,2933.076
0.598029,0.511836,-2777.061,3657.204
0.814304,0.735297,-1737.658,2746.281
0.339941,0.223512,-2079.62,3481.48
0.472583,0.16843,-3342.108,4311.233
0.74035,0.701428,-1286.225,2170.732
0.639363,0.478539,-1744.241,2669.171
0.782943,0.746617,-1888.218,2748.251
0.408439,0.177448,-2995.071,3968.55
0.546456,0.4554,-1451.105,2230.186
0.442514,0.169305,-3703.821,4747.752
0.663093,0.566862,-2456.33,3494.09
0.786625,0.651778,-3188.212,4258.521
0.702613,0.66882,-1029.03,1884.699
0.69578,0.545546,-3219.272,4240.118
0.619081,0.531078,-915.886,2150.901
0.611206,0.478997,-878.889,1912.58
0.674968,0.580322,-1091.474,2315.095
0.762116,0.702861,-2178.164,3032.743
0.562513,0.118987,-1917.757,2929.1
0.46027,0.315931,-2969.092,3824.376
0.764554,0.633322,-2721.248,3618.277
0.332735,0.001,-3505.6,4828.178
0.540835,0.405166,-3696.879,4744.783
0.359179,0.169655,-957.605,1860.381
0.618505,0.518742,-3609.246,4716.857
0.405182,0.001,-3584.711,4468.21
