model,target,MAE,RMSE,R2
Polynomial,xD,0.00219,0.003027,0.999558
Polynomial,xB,0.004759,0.006552,0.998877
Polynomial,QC_kW,17.859716,22.465717,0.99938
Polynomial,QR_kW,24.391411,32.737426,0.998582
Random Forest,xD,0.0087,0.011719,0.99338
Random Forest,xB,0.023809,0.037099,0.964005
Random Forest,QC_kW,68.753519,87.315696,0.990631
Random Forest,QR_kW,128.004131,158.738501,0.966667
XGBoost,xD,0.011102,0.015329,0.988672
XGBoost,xB,0.017716,0.025713,0.982708
XGBoost,QC_kW,99.775534,120.96066,0.982019
XGBoost,QR_kW,125.43696,149.257607,0.97053
ANN,xD,0.016661,0.021138,0.97846
ANN,xB,0.031584,0.03892,0.960385
ANN,QC_kW,117.570846,146.571465,0.973599
ANN,QR_kW,138.553608,163.475647,0.964648
